Filter Type,Sample,surface,DN1,DN2,DN3,DNAVG
R,1,1,532,448,596,525.3333333
R,2,1,532,452,600,528
R,3,1,540,456,600,532
R,4,1,532,452,592,525.3333333
R,5,1,540,456,600,532
R,6,1,540,456,600,532
R,7,1,536,452,592,526.6666667
R,8,1,540,456,600,532
R,9,1,536,448,596,526.6666667
R,10,1,536,448,600,528
R,11,1,536,452,600,529.3333333
R,12,1,536,452,592,526.6666667
R,13,1,560,468,600,542.6666667
R,14,1,556,460,608,541.3333333
R,15,1,556,460,604,540
R,16,1,560,468,600,542.6666667
R,17,1,556,464,608,542.6666667
R,18,1,560,460,600,540
R,19,1,560,468,608,545.3333333
R,20,1,560,460,608,542.6666667
R,21,1,560,468,604,544
R,22,1,560,472,608,546.6666667
R,23,1,556,460,608,541.3333333
R,24,1,508,416,532,485.3333333
R,25,1,512,416,540,489.3333333
R,26,1,508,420,540,489.3333333
R,27,1,516,412,540,489.3333333
R,28,1,516,412,540,489.3333333
R,29,1,516,408,544,489.3333333
R,30,1,516,412,540,489.3333333
R,31,1,512,412,540,488
R,32,1,516,408,540,488
R,33,1,516,412,540,489.3333333
R,34,1,516,408,540,488
R,35,1,588,488,616,564
R,36,1,584,484,608,558.6666667
R,37,1,592,488,616,565.3333333
R,38,1,588,488,616,564
R,39,1,584,484,608,558.6666667
R,40,1,592,488,620,566.6666667
R,41,1,592,484,608,561.3333333
R,42,1,584,484,616,561.3333333
R,43,1,592,488,616,565.3333333
R,44,1,592,484,608,561.3333333
R,45,1,588,488,616,564
R,46,1,596,504,628,576
R,47,1,600,500,624,574.6666667
R,48,1,596,496,624,572
R,49,1,592,504,620,572
R,50,1,596,496,624,572
R,51,1,596,500,628,574.6666667
R,52,1,592,504,624,573.3333333
R,53,1,600,496,628,574.6666667
R,54,1,600,504,628,577.3333333
R,55,1,596,504,624,574.6666667
R,56,1,600,500,620,573.3333333
R,57,1,592,504,628,574.6666667
R,58,1,600,496,624,573.3333333
R,59,1,596,496,640,577.3333333
R,60,1,596,504,624,574.6666667
R,61,1,600,496,624,573.3333333
R,62,1,600,500,628,576
R,63,1,596,504,624,574.6666667
R,64,1,600,496,628,574.6666667
R,65,1,600,500,628,576
R,66,1,592,496,624,570.6666667
R,67,1,600,496,624,573.3333333
R,68,1,548,448,568,521.3333333
R,69,1,548,456,572,525.3333333
R,70,1,548,452,576,525.3333333
R,71,1,552,452,576,526.6666667
R,72,1,548,456,572,525.3333333
R,73,1,560,448,572,526.6666667
R,74,1,548,464,572,528
R,75,1,556,452,576,528
R,76,1,552,452,568,524
R,77,1,560,452,576,529.3333333
R,78,1,556,452,576,528
R,79,1,568,472,592,544
R,80,1,576,468,596,546.6666667
R,81,1,568,468,588,541.3333333
R,82,1,576,472,592,546.6666667
R,83,1,568,468,592,542.6666667
R,84,1,576,472,588,545.3333333
R,85,1,576,472,592,546.6666667
R,86,1,568,468,592,542.6666667
R,87,1,572,472,592,545.3333333
R,88,1,576,460,592,542.6666667
R,89,1,568,468,592,542.6666667
R,90,1,580,488,612,560
R,91,1,584,484,612,560
R,92,1,580,480,608,556
R,93,1,588,484,612,561.3333333
R,94,1,580,480,612,557.3333333
R,95,1,580,476,608,554.6666667
R,96,1,576,484,612,557.3333333
R,97,1,584,480,608,557.3333333
R,98,1,584,484,608,558.6666667
R,99,1,588,484,608,560
R,100,1,584,480,608,557.3333333
R,101,1,580,488,616,561.3333333
R,102,1,580,488,620,562.6666667
R,103,1,588,484,612,561.3333333
R,104,1,580,488,616,561.3333333
R,105,1,584,484,608,558.6666667
R,106,1,584,484,616,561.3333333
R,107,1,584,488,620,564
R,108,1,580,488,612,560
R,109,1,588,496,616,566.6666667
R,110,1,584,488,620,564
R,111,1,584,484,608,558.6666667
R,1,2,664,536,692,630.6666667
