Filter Type,Sample,surface,DN1,DN2,DN3
R,1,1,532,448,596
R,2,1,532,452,600
R,3,1,540,456,600
R,4,1,532,452,592
R,5,1,540,456,600
R,6,1,540,456,600
R,7,1,536,452,592
R,8,1,540,456,600
R,9,1,536,448,596
R,10,1,536,448,600
R,11,1,536,452,600
R,12,1,536,452,592
R,13,1,560,468,600
R,14,1,556,460,608
R,15,1,556,460,604
R,16,1,560,468,600
R,17,1,556,464,608
R,18,1,560,460,600
R,19,1,560,468,608
R,20,1,560,460,608
R,21,1,560,468,604
R,22,1,560,472,608
R,23,1,556,460,608
R,24,1,508,416,532
R,25,1,512,416,540
R,26,1,508,420,540
R,27,1,516,412,540
R,28,1,516,412,540
R,29,1,516,408,544
R,30,1,516,412,540
R,31,1,512,412,540
R,32,1,516,408,540
R,33,1,516,412,540
R,34,1,516,408,540
R,35,1,588,488,616
R,36,1,584,484,608
R,37,1,592,488,616
R,38,1,588,488,616
R,39,1,584,484,608
R,40,1,592,488,620
R,41,1,592,484,608
R,42,1,584,484,616
R,43,1,592,488,616
R,44,1,592,484,608
R,45,1,588,488,616
R,46,1,596,504,628
R,47,1,600,500,624
R,48,1,596,496,624
R,49,1,592,504,620
R,50,1,596,496,624
R,51,1,596,500,628
R,52,1,592,504,624
R,53,1,600,496,628
R,54,1,600,504,628
R,55,1,596,504,624
R,56,1,600,500,620
R,57,1,592,504,628
R,58,1,600,496,624
R,59,1,596,496,640
R,60,1,596,504,624
R,61,1,600,496,624
R,62,1,600,500,628
R,63,1,596,504,624
R,64,1,600,496,628
R,65,1,600,500,628
R,66,1,592,496,624
R,67,1,600,496,624
R,68,1,548,448,568
R,69,1,548,456,572
R,70,1,548,452,576
R,71,1,552,452,576
R,72,1,548,456,572
R,73,1,560,448,572
R,74,1,548,464,572
R,75,1,556,452,576
R,76,1,552,452,568
R,77,1,560,452,576
R,78,1,556,452,576
R,79,1,568,472,592
R,80,1,576,468,596
R,81,1,568,468,588
R,82,1,576,472,592
R,83,1,568,468,592
R,84,1,576,472,588
R,85,1,576,472,592
R,86,1,568,468,592
R,87,1,572,472,592
R,88,1,576,460,592
R,89,1,568,468,592
R,90,1,580,488,612
R,91,1,584,484,612
R,92,1,580,480,608
R,93,1,588,484,612
R,94,1,580,480,612
R,95,1,580,476,608
R,96,1,576,484,612
R,97,1,584,480,608
R,98,1,584,484,608
R,99,1,588,484,608
R,100,1,584,480,608
R,101,1,580,488,616
R,102,1,580,488,620
R,103,1,588,484,612
R,104,1,580,488,616
R,105,1,584,484,608
R,106,1,584,484,616
R,107,1,584,488,620
R,108,1,580,488,612
R,109,1,588,496,616
R,110,1,584,488,620
R,111,1,584,484,608
R,1,2,664,536,692
R,2,2,668,540,688
R,3,2,668,540,688
R,4,2,680,536,692
R,5,2,668,540,684
R,6,2,672,536,688
R,7,2,660,536,696
R,8,2,668,540,684
R,9,2,668,536,688
R,10,2,668,540,688
R,11,2,668,536,692
R,12,2,744,612,796
R,13,2,728,600,780
R,14,2,732,604,788
R,15,2,736,608,792
R,16,2,736,616,792
R,17,2,740,612,796
R,18,2,736,620,796
R,19,2,728,616,796
R,20,2,724,608,788
R,21,2,700,576,764
R,22,2,712,588,760
R,23,2,644,540,704
R,24,2,644,540,704
R,25,2,640,536,696
R,26,2,644,536,704
R,27,2,644,540,704
R,28,2,644,536,708
R,29,2,640,540,700
R,30,2,644,540,704
R,31,2,648,536,700
R,32,2,644,540,704
R,33,2,640,540,704
R,34,2,708,596,768
R,35,2,712,600,768
R,36,2,712,600,768
R,37,2,708,596,772
R,38,2,708,600,764
R,39,2,712,596,772
R,40,2,712,600,768
R,41,2,712,596,764
R,42,2,704,596,768
R,43,2,712,600,768
R,44,2,712,600,768
R,45,2,724,596,764
R,46,2,712,600,760
R,47,2,708,596,764
R,48,2,704,600,760
