Datapoint,Timestep,Segment,Angles,Angles2
1,0,1,78.99645915,78.9965
2,0,2,80.36246189,80.3625
3,0,3,81.39551841,81.3955
4,0,4,81.08507304,81.0851
5,0,5,79.27555146,79.2756
6,0,6,80.87710379,80.8771
7,1,1,88.39997528,88.4
8,1,2,82.69424047,82.6942
9,1,3,79.45193458,79.4519
10,1,4,76.05427112,76.0543
11,1,5,61.75574893,61.7557
12,1,6,50.24433811,50.2443
13,2,1,87.16588898,87.1659
14,2,2,86.7480544,86.7481
15,2,3,82.65877419,82.6588
16,2,4,76.2005146,76.2005
17,2,5,33.14699583,33.147
18,2,6,7.686721681,7.6867
19,3,1,76.15559436,76.1556
20,3,2,86.72101374,86.721
21,3,3,82.87498365,82.875
22,3,4,63.8118893,63.8119
23,3,5,17.25679553,17.2568
24,3,6,63.74690098,63.7469
25,4,1,69.86369657,69.8637
26,4,2,84.70478706,84.7048
27,4,3,82.72499504,82.725
28,4,4,63.67670173,63.6767
29,4,5,20.58166945,20.5817
30,4,6,49.33006028,49.3301
31,5,1,21.92958775,21.9296
32,5,2,56.67371031,56.6737
33,5,3,83.91147185,83.9115
34,5,4,59.91584344,59.9158
35,5,5,23.59773135,23.5977
36,5,6,38.14292767,38.1429
